Family_No,g_score,gf_score,gc_score,g_score_family,gf_score_family,gc_score_family,Age,Gender,Handedness,FD_mean,Spikes_mean
71,0.0283329399652726,-0.895356223475743,0.137708135709587,-0.479102435134463,-0.944042418832565,0.359853491544135,27,1,60,0.0774398233111249,3.77777777777778
71,-1.11631952061906,-1.14352812562356,1.15174673362836,-0.479102435134463,-0.944042418832565,0.359853491544135,27,0,95,0.129142934489987,6.27777777777778
71,-0.838757936137599,-1.01172107306307,-0.195492508205731,-0.479102435134463,-0.944042418832565,0.359853491544135,27,0,80,0.0858368251160804,1.38888888888889
71,0.0103347762535357,-0.725564253167886,0.345451605044325,-0.479102435134463,-0.944042418832565,0.359853491544135,27,0,65,0.088145056620332,1.16666666666667
242,-0.274847222171949,-0.158429553910201,0.264881182429932,-0.469609673658882,-0.639995433170508,-0.132889240813794,30,0,80,0.0916691966474759,1.94444444444444
242,-0.375603797712297,-0.660768588667874,-0.419200616560791,-0.469609673658882,-0.639995433170508,-0.132889240813794,28,0,30,0.0896286657806705,0.777777777777778
242,-0.758378001092401,-1.10078815693345,-0.244348288310522,-0.469609673658882,-0.639995433170508,-0.132889240813794,24,0,85,0.124188947292952,0.222222222222222
61,-0.996303798173732,-0.0454487538209213,-0.253987184313287,-0.468581612554765,-0.24436953656972,0.384480439734616,26,0,90,0.0676055589274223,0.0555555555555555
61,0.0591405730642011,-0.443290319318519,1.02294806378252,-0.468581612554765,-0.24436953656972,0.384480439734616,30,0,50,0.078385113759826,16.0555555555556
75,-0.390693059115012,-0.447926681878391,0.0168100501540882,-0.467788165846372,-0.269915382495271,0.44514774798804,23,1,100,0.0572023528518763,2.61111111111111
75,-0.863759146172146,-0.450912547259605,0.122547454995241,-0.467788165846372,-0.269915382495271,0.44514774798804,31,0,100,0.103134119229308,4.11111111111111
75,-0.148912292251959,0.0890930816521833,1.19608573881479,-0.467788165846372,-0.269915382495271,0.44514774798804,30,0,80,0.052767779384732,20.5
41,0.159542873088366,-0.251344834725961,0.124248404943044,-0.464993262445478,-0.213182268094648,-0.34595002372665,24,0,65,0.0599251650752298,8.27777777777778
41,-1.24110125789766,0.224871121929754,-1.43333562735035,-0.464993262445478,-0.213182268094648,-0.34595002372665,26,0,100,0.0572935482655013,4.61111111111111
41,-1.01099736463267,-0.541281598150898,-0.767368582318774,-0.464993262445478,-0.213182268094648,-0.34595002372665,32,0,100,0.0924746998682236,9.11111111111111
41,0.232582699660053,-0.284973761431489,0.69265570981948,-0.464993262445478,-0.213182268094648,-0.34595002372665,33,1,70,0.0698210078088687,8.94444444444444
363,0.012177023170144,0.466576707191746,-0.561782005445166,-0.459061150143166,0.0396283340049552,-0.482899793002702,33,1,100,0.0995649476661036,0.833333333333333
